标题,总价,单价,面积,户型,楼层,建成年份,小区,区域,标签,链接,关注人数,发布时间
"装修保持很好，出门就是商圈，离轻轨站500米","124.8万","13,449元/平","92.8平米","2室1厅","高楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106114963391.html","26人关注","2年前发布"
"龙湖品质楼盘，户型方正，采光视野好","122万","12,979元/平","94平米","低楼层                                     (共20层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106114482325.html","4人关注","2年前发布"
"龙湖物业，洋房+高层业态，得房率高","122万","12,456元/平","97.95平米","高楼层                                     (共27层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113319717.html","14人关注","2年前发布"
"新江与城龙湖悠澜大三房 高楼层视野好 业主安心卖","140万","14,291元/平","97.97平米","高楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106113050358.html","6人关注","2年前发布"
"龙湖悠澜两房两卫 看江看别墅 诚意出售 方便看房","140万","14,433元/平","97平米","低楼层                                     (共27层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106112910046.html","1人关注","2年前发布"
"新江与城龙湖悠澜 两房两卫户型 高楼层视野开阔无遮挡","125万","12,900元/平","96.9平米","中楼层                                     (共31层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106110654905.html","13人关注","3年前发布"
"安静宜居，龙湖品质，户型方正，诚心出售","142万","14,649元/平","96.94平米","低楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106110533037.html","4人关注","3年前发布"
"龙湖清水两房两卫 户型方正 随时看房","124万","12,679元/平","97.8平米","低楼层                                     (共31层)                                                                   2室1厅","未知","未知","新江与城悠澜","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110045731.html","12人关注","3年前发布"
"江与城千山万树 精装大两房  满五唯一","148万","15,949元/平","92.8平米","2室1厅","高楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106110021074.html","5人关注","3年前发布"
"龙湖品质简奢风，无人入住0改动","125万","13,587元/平","92平米","2室2厅","高楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106109116748.html","15人关注","3年前发布"
"公园里的小高层，内部湿地公园横穿，外部滨江公园围绕","157万","14,538元/平","108平米","中楼层                                     (共18层)                                                                   3室2厅","未知","未知","中伦金海岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106124031630.html","1人关注","10天前发布"
"大竹林金科天元道一期三组团 精装房 3室2厅 诚心出售","170万","17,132元/平","99.23平米","3室2厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106124025464.html","1人关注","11天前发布"
"新江与城清晖岸 3室2厅 西","185万","17,529元/平","105.54平米","3室2厅","中楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123971675.html","0人关注","15天前发布"
"次新盘，户型结构比较方正，位置也比较安静","165万","17,090元/平","96.55平米","3室1厅","高楼层                                     (共20层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106123394403.html","0人关注","1月前发布"
"近轻轨，配套齐全，出门即使公园，视野好，看公园","155万","14,512元/平","106.81平米","中楼层                                     (共25层)                                                                   3室2厅","未知","未知","金科天元道一期二组团","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123329561.html","1人关注","2月前发布"
"品质洋房小区，户型方正，视野开阔，多公园环抱。","160万","17,583元/平","91平米","中楼层                                     (共20层)                                                                   3室1厅","未知","未知","新江与城清晖岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106123153141.html","0人关注","2月前发布"
"天骄公园 3室2厅 东南","188万","19,285元/平","97.49平米","中楼层                                     (共32层)                                                                   3室2厅","未知","未知","天骄公园","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106123121337.html","1人关注","2月前发布"
"大竹林次新小高，朝中庭，视野采光好，业主诚心卖","156万","14,199元/平","109.87平米","高楼层                                     (共18层)                                                                   3室1厅","未知","未知","天骄公园","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123078793.html","13人关注","2月前发布"
"视野无遮挡  大竹林 品质精装 看江三房 大阳台","159万","16,310元/平","97.49平米","中楼层                                     (共32层)                                                                   3室2厅","未知","未知","天骄公园","重庆渝北","满两年;VR房源","https://cq.ke.com/ershoufang/106122160302.html","12人关注","5月前发布"
"地理位置优越，交通便利配套成熟","88万","9,562元/平","92.04平米","高楼层                                     (共21层)                                                                   3室2厅","未知","未知","大竹林商业中心","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106121919104.html","6人关注","5月前发布"
"此房龙湖次新改善小区 格局好 采光好，视野开阔","169万","16,096元/平","105平米","3室1厅","中楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106121908842.html","7人关注","5月前发布"
"近轻轨 ，电梯精装大两室 家具家电齐全 出行方便","76万","7,861元/平","96.69平米","低楼层                                     (共25层)                                                                   3室1厅","未知","未知","渝兴新街坊","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106121898709.html","27人关注","5月前发布"
"龙湖次新品质小区 配套成熟 视野开阔无遮挡","165万","17,120元/平","96.38平米","3室2厅","高楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106121862757.html","0人关注","5月前发布"
"临江低密度品质小区，品质物业，小区环境好，适宜居家","160万","14,748元/平","108.49平米","高楼层                                     (共18层)                                                                   3室2厅","未知","未知","中伦金海岸","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106120957636.html","1人关注","8月前发布"
"临江品质小高，精装未住过，红外线墙暖，看公园无遮挡","178万","16,719元/平","106.47平米","低楼层                                     (共18层)                                                                   3室2厅","未知","未知","中伦金海岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106120730771.html","1人关注","9月前发布"
"金科住家三房精装修，近轻轨，配套齐全，视野看公园","155万","14,622元/平","106.01平米","3室1厅","低楼层                                     (共33层)","2018年","金科天元道一期二组团","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120633867.html","6人关注","9月前发布"
"大竹林金科品质精装3房近公园近商场拎包入住","160万","16,162元/平","99平米","3室1厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106120267313.html","2人关注","10月前发布"
"龙湖小高，中间楼层，轻奢精装，保持新带车位","160万","17,624元/平","90.79平米","3室2厅","中楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120120626.html","8人关注","11月前发布"
"此房三房双卫格局好 高楼层 采光好 住家精装修","169万","16,013元/平","105.54平米","3室2厅","高楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106119694488.html","16人关注","1年前发布"
"龙湖次新小区，装修房 视野开阔","181万","18,780元/平","96.38平米","3室2厅","低楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106119624028.html","0人关注","1年前发布"
"看江3房  视野好  采光好  有钥匙方便看房","160万","17,725元/平","90.27平米","3室1厅","高楼层                                     (共20层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106119310384.html","2人关注","1年前发布"
"金海湾滨江公园 俯瞰嘉陵江畔 精装房 3室2厅2卫","199万","20,413元/平","97.49平米","高楼层                                     (共32层)                                                                   3室2厅","未知","未知","天骄公园","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106118847884.html","3人关注","1年前发布"
"龙湖次新 3居2卫 精装50万 视野开阔 享洋房社区","179万","16,910元/平","105.86平米","中楼层                                     (共20层)                                                                   3室2厅","未知","未知","新江与城清晖岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106118845316.html","28人关注","1年前发布"
"大竹林金科品质精装三房 未住过人全新装修 配套齐全","195万","19,465元/平","100.18平米","3室1厅","低楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106118620308.html","1人关注","1年前发布"
"金科精装三房，住家装修，拎包入住，中高楼层采光好","166万","17,426元/平","95.26平米","3室2厅","高楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106117751472.html","0人关注","1年前发布"
"品质物业，小区环境好，适宜居家","188万","17,736元/平","106平米","高楼层                                     (共18层)                                                                   3室2厅","未知","未知","中伦金海岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106117416261.html","0人关注","1年前发布"
"龙湖品质，大竹林地段，直临公园，","176万","16,677元/平","105.54平米","3室2厅","低楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106116929878.html","5人关注","1年前发布"
"看江三房，全新装修，可拎包入住","160万","15,580元/平","102.7平米","3室2厅","低楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106116423042.html","16人关注","1年前发布"
"大竹林轻轨400多米 交通方便出门公园 精装三房双卫","166万","15,542元/平","106.81平米","3室1厅","低楼层                                     (共25层)","2018年","金科天元道一期二组团","重庆渝北","近地铁;满两年;VR房源","https://cq.ke.com/ershoufang/106115887939.html","20人关注","1年前发布"
"龙湖品质精装三房，楼层好，视野采光好，拎包入住","160万","17,339元/平","92.28平米","3室2厅","高楼层                                     (共26层)","2014年","龙湖江与城薇澜岸","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106115213808.html","10人关注","2年前发布"
"龙湖品质 次新小区 邻嘉陵江边 金海湾公园旁 品质装修","180万","19,566元/平","92平米","3室1厅","低楼层                                     (共26层)","2014年","龙湖江与城薇澜岸","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106114798219.html","1人关注","2年前发布"
"新上房源 龙湖品质盘 户型方正 采光好","157万","16,977元/平","92.48平米","3室1厅","中楼层                                     (共26层)","2014年","龙湖江与城薇澜岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106114598694.html","2人关注","2年前发布"
"龙湖品质  户型方正 视野开阔  采光通透","170万","16,191元/平","105平米","中楼层                                     (共20层)                                                                   3室1厅","未知","未知","新江与城清晖岸","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106113548338.html","21人关注","2年前发布"
"大竹林精装三房，视野开阔，拎包入住，住家新装修","200万","20,156元/平","99.23平米","3室1厅","中楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106113366831.html","1人关注","2年前发布"
"两江新区 龙湖次新小区 清水3房 户型方正 采光视野好","156万","14,804元/平","105.38平米","3室1厅","高楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113051510.html","5人关注","2年前发布"
"出则宁静入则繁华，全新精装修。","157万","14,702元/平","106.79平米","高楼层                                     (共18层)                                                                   3室2厅","未知","未知","中伦金海岸","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106112746903.html","16人关注","2年前发布"
"安 心 出 售 ，欢 迎 看 房 。有车位，价格另算。","165万","17,881元/平","92.28平米","3室2厅","中楼层                                     (共26层)","2014年","龙湖江与城薇澜岸","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106112745627.html","15人关注","2年前发布"
"龙湖品质3房，共享洋房环境，业主安心卖","175万","16,667元/平","105平米","3室2厅","低楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106111326870.html","2人关注","3年前发布"
"渝北 北部新区 照母山大竹林轻轨 龙湖品质 带车位","170万","16,191元/平","105平米","3室2厅","低楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106110556170.html","10人关注","3年前发布"
"龙湖品质物业 清水三房 视野开阔 采光充足","174万","16,572元/平","105平米","3室2厅","低楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106108862358.html","5人关注","4年前发布"
"龙湖品质物业 视野开阔采光充足 业主诚心出售","169万","15,992元/平","105.68平米","3室2厅","高楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106108529586.html","17人关注","4年前发布"
"协信大开发商，品质小区 小区绿化充足。","191万","19,691元/平","97平米","高楼层                                     (共32层)                                                                   3室2厅","未知","未知","天骄公园","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106107631354.html","1人关注","4年前发布"
"大竹林次新小区  龙湖品质看江三房 视野开阔 随时看房","185.9万","17,615元/平","105.54平米","3室1厅","高楼层                                     (共26层)","2017年","新江与城清晖岸","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106106514175.html","34人关注","4年前发布"
"此房已满两年，楼层好，视野开阔，","130万","14,131元/平","92平米","2室1厅","中楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","VR看装修;新上","https://cq.ke.com/ershoufang/106124061118.html","2人关注","8天前发布"
"大竹林龙湖品质小区，高楼层，朝南两房、拎包入住","140万","14,676元/平","95.4平米","高楼层                                     (共33层)                                                                   2室1厅","未知","未知","新江与城清晖时光","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106124022101.html","0人关注","11天前发布"
"龙湖品质住家装修大两房 可拎包入住","142万","14,948元/平","95平米","高楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城清晖时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106122233876.html","1人关注","4月前发布"
"龙湖精装2房，业主诚意出售，精装20多万","125万","13,447元/平","92.96平米","2室1厅","中楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","满两年;VR房源","https://cq.ke.com/ershoufang/106121714416.html","8人关注","5月前发布"
"新上看江大两房！每个房间都看江！精装修拎包入住！","123万","13,232元/平","92.96平米","2室2厅","高楼层                                     (共33层)","2017年","新江与城清晖时光","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106121500193.html","25人关注","6月前发布"
"住家舒适，采光充足 小区新环境好 龙湖物业管理好","140万","15,054元/平","93平米","中楼层                                     (共33层)                                                                   2室2厅","未知","未知","新江与城清晖时光","重庆渝北","满两年;VR看装修","https://cq.ke.com/ershoufang/106115341588.html","4人关注","2年前发布"
"清水小三房，龙湖次新品质楼盘，邻公园，近地铁","105万","11,954元/平","87.84平米","高楼层                                     (共20层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123236799.html","11人关注","2月前发布"
"龙湖品质楼盘,视野好，采光充足，户型方正","106万","12,068元/平","87.84平米","高楼层                                     (共20层)                                                                   3室1厅","未知","未知","新江与城悠澜","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111535976.html","31人关注","3年前发布"
"江与城大两房， 装修的， 视野开阔，可以看江","105万","12,022元/平","87.34平米","2室1厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106118869693.html","50人关注","1年前发布"
"金科天元道砚北B区 3室1厅 东南","170万","15,297元/平","111.14平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;新上","https://cq.ke.com/ershoufang/106124149908.html","0人关注","今天发布"
"大竹林轻轨旁嘉陵江畔，出行方便宜居，看中庭视野好","210万","16,457元/平","127.61平米","3室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106121802715.html","0人关注","5月前发布"
"金科 次新精装3房 中间楼层 业主诚心出售","170万","15,259元/平","111.41平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106121277548.html","3人关注","7月前发布"
"一楼精装花园洋房 住家安静 房龄新 品质采光好","300万","22,535元/平","133.13平米","3室2厅","低楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106120510135.html","16人关注","10月前发布"
"次新小区，洋房环境品质高层，高楼层，视野开阔","168万","15,080元/平","111.41平米","3室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106120273995.html","0人关注","10月前发布"
"金科次新小区，3房，住家装修，视野开阔，业主诚心卖","195万","17,411元/平","112平米","3室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106120169687.html","0人关注","11月前发布"
"面对广场，视野开阔，金科物业，洋房品质","213万","17,337元/平","122.86平米","3室1厅","中楼层                                     (共8层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119503013.html","1人关注","1年前发布"
"离轻轨站300米，金科品质，洋房小区","202万","15,829元/平","127.62平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR房源","https://cq.ke.com/ershoufang/106117202993.html","0人关注","1年前发布"
"6号线 金科品质小区 开发商精装修","180万","16,121元/平","111.66平米","3室1厅","低楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106117177701.html","0人关注","1年前发布"
"6号线 金科品质小区  精装3房","170万","15,316元/平","111平米","3室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106117153223.html","0人关注","1年前发布"
"金科品质小区，洋房高层一个小区，户型采光好","155万","13,913元/平","111.41平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106116350188.html","2人关注","1年前发布"
"金科品质小区，洋房高层一个小区， 户型采光比较好","189万","16,875元/平","112平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106114832931.html","0人关注","2年前发布"
"金科 次新精装3房 中间楼层 业主诚心出售","164万","14,538元/平","112.81平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106114320449.html","3人关注","2年前发布"
"金科品质精装3房 住家舒适近轻轨 近公园","177万","15,888元/平","111.41平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106111848799.html","0人关注","3年前发布"
"次新小区2019年交房，共享洋房小区环境，金科品质楼盘","170万","13,386元/平","127平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106111792713.html","0人关注","3年前发布"
"：户型方正，精装修，中间楼层采光好。","168万","15,112元/平","111.17平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106110332058.html","2人关注","3年前发布"
"户型方正，精装，朝中庭，业主诚心","175万","15,673元/平","111.66平米","3室1厅","高楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106109983834.html","5人关注","3年前发布"
"金科天元道砚北B组团3-2-1","195万","17,503元/平","111.41平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106316645.html","4人关注","4年前发布"
"房子是精装修的，房子户型方正采光好","180万","15,921元/平","113.06平米","3室2厅","低楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106299148.html","26人关注","4年前发布"
"户型好     视野开阔    环境好","162万","14,577元/平","111.14平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106105839770.html","1人关注","4年前发布"
"龙湖江与城  大两房  配套设施齐全","120万","12,932元/平","92.8平米","2室2厅","中楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123753108.html","1人关注","1月前发布"
"龙湖悠澜小高层 视野开阔无遮挡 看江看别墅  随时看房","115万","12,106元/平","95平米","中楼层                                     (共20层)                                                                   2室2厅","未知","未知","新江与城悠澜","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106121738491.html","3人关注","5月前发布"
"精装修， 业主诚心出售，视野好","90万","11,091元/平","81.15平米","3室2厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106123369943.html","6人关注","2月前发布"
"江景大三房，户型方正，住家安静，拎包入住","180万","14,534元/平","123.85平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106123157728.html","1人关注","2月前发布"
"龙湖品质精装三房，拎包入住，视野好，采光好看公园","158万","12,846元/平","123平米","3室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106123138027.html","0人关注","2月前发布"
"熙溪地顶楼外圈洋房，带大露台，视野开阔","210万","16,536元/平","127平米","3室2厅","高楼层                                     (共8层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106122279978.html","22人关注","4月前发布"
"精装两房，看江看公园，业主诚心出售，看房方便","81万","10,585元/平","76.53平米","3室1厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106122131345.html","34人关注","5月前发布"
"龙湖品质  洋房社区 出门即公园 顶楼带露台户型","210万","16,407元/平","128平米","3室2厅","高楼层                                     (共8层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106121774047.html","6人关注","5月前发布"
"龙湖品质房 精装修 视野看嘉陵江 无遮挡 中间楼层","158万","12,846元/平","123平米","3室2厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106121658424.html","9人关注","6月前发布"
"龙湖精装房 江景房 环境优美 带车位 诚心出售","200万","15,303元/平","130.7平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106121512077.html","7人关注","6月前发布"
"看江看中庭 安静舒适 装修用材讲究 业主诚心","159.5万","12,968元/平","123平米","3室2厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106120551264.html","50人关注","9月前发布"
"龙湖成熟社区，臻装板式洋房，带露台","315万","18,750元/平","168平米","3室1厅","中楼层                                     (共8层)","2012年","熙溪地","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106120393455.html","6人关注","10月前发布"
"大竹林龙湖江景4房  空调+地暖+设计","200万","15,303元/平","130.7平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106120308873.html","25人关注","10月前发布"
"龙湖精装大三房，现代装修， 朝小区中庭","177万","14,292元/平","123.85平米","3室2厅","低楼层                                     (共33层)","2013年","熙溪地","重庆渝北","满两年;VR房源","https://cq.ke.com/ershoufang/106119207213.html","18人关注","1年前发布"
"业主诚心买，用心装修，江景房，江景房","180万","14,635元/平","123平米","3室2厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106118074435.html","13人关注","1年前发布"
"江与城正面一线江景 精装修拎包入住 高楼层","188万","14,462元/平","130平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106116535768.html","16人关注","1年前发布"
"龙湖品质 楼层视野好 精装3房 拎包入住","175万","19,613元/平","89.23平米","3室2厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106116424987.html","1人关注","1年前发布"
"9成新地中海风格 全屋仲央空调 带子母车位 业主诚售","170万","20,936元/平","81.2平米","3室1厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106115538180.html","3人关注","1年前发布"
"龙湖江与城精装看江大三房，同享洋房小区，视野开阔","159万","12,839元/平","123.85平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106115373045.html","10人关注","2年前发布"
"龙湖江与城精装小三房，拎包入住，带车位，视野开阔","160万","19,754元/平","81平米","3室1厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106115335359.html","2人关注","2年前发布"
"大竹林龙湖品质看江清水三房 配套成熟 环境舒适","205万","16,652元/平","123.11平米","3室1厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106114742978.html","6人关注","2年前发布"
"视野开阔，一线江景，满五唯一，交易方便。","168万","13,565元/平","123.85平米","3室2厅","高楼层                                     (共33层)","2014年","熙溪地","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106109783402.html","30人关注","3年前发布"
"急售！必看！低于同户型50万，金海湾公园2梯4户小高层","148万","11,157元/平","132.66平米","中楼层                                     (共18层)                                                                   3室1厅","未知","未知","中伦金海岸","重庆渝北","满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106123675556.html","10人关注","1月前发布"
"龙湖品质物业 视野开阔 采光充足 业主诚心出售","139万","10,381元/平","133.9平米","3室1厅","高楼层                                     (共33层)","2017年","龙湖江与城原山时光","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106123643494.html","7人关注","1月前发布"
"精装四房 带暖气 带车位 看公园 安静树景房","149万","13,080元/平","113.92平米","3室1厅","低楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106123588554.html","26人关注","1月前发布"
"精装修， 居家安静，出门即是公园，金科品质 有车位","130万","14,676元/平","88.58平米","3室2厅","低楼层                                     (共28层)","2018年","金科天元道一期三组团","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106123160910.html","1人关注","2月前发布"
